TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential,Year
Ravens,17.9,287.0,974.0,4687.0,4.8,286.0,72.0,211.0,34.1,26.0,41.0,63.4,113.0,1017.0,28:15,3.0,2018.0
Bills,23.4,374.0,968.0,4706.0,4.9,293.0,74.0,203.0,36.5,34.0,48.0,70.8,99.0,976.0,30:31,5.0,2018.0
Bears,17.7,283.0,1004.0,4795.0,4.8,278.0,75.0,219.0,34.2,20.0,40.0,50.0,114.0,1022.0,29:42,-12.0,2018.0
Vikings,21.3,341.0,993.0,4955.0,5.0,303.0,58.0,190.0,30.5,22.0,49.0,44.9,106.0,834.0,31:03,0.0,2018.0
Jaguars,19.8,316.0,970.0,4983.0,5.1,288.0,80.0,212.0,37.7,24.0,47.0,51.1,92.0,735.0,30:46,12.0,2018.0
Steelers,22.5,360.0,987.0,5235.0,5.3,317.0,72.0,197.0,36.5,29.0,49.0,59.2,136.0,1170.0,30:37,11.0,2018.0
Cowboys,20.2,324.0,981.0,5268.0,5.4,309.0,85.0,201.0,42.3,25.0,49.0,51.0,89.0,681.0,29:29,-3.0,2018.0
Titans,18.9,303.0,1001.0,5334.0,5.3,298.0,75.0,205.0,36.6,21.0,47.0,44.7,120.0,984.0,31:51,1.0,2018.0
Chargers,20.6,329.0,981.0,5339.0,5.4,311.0,79.0,202.0,39.1,25.0,50.0,50.0,103.0,828.0,29:17,-1.0,2018.0
Lions,22.5,360.0,942.0,5360.0,5.7,315.0,69.0,186.0,37.1,27.0,47.0,57.4,94.0,886.0,29:36,5.0,2018.0
Colts,21.5,344.0,995.0,5431.0,5.5,315.0,82.0,200.0,41.0,23.0,43.0,53.5,131.0,1115.0,31:33,-2.0,2018.0
Texans,19.8,316.0,1022.0,5490.0,5.4,298.0,91.0,227.0,40.1,29.0,41.0,70.7,117.0,945.0,30:22,-13.0,2018.0
49ers,27.2,435.0,1023.0,5546.0,5.4,337.0,87.0,216.0,40.3,38.0,58.0,65.5,117.0,1011.0,31:31,25.0,2018.0
Saints,22.1,353.0,978.0,5585.0,5.7,333.0,78.0,189.0,41.3,31.0,49.0,63.3,85.0,814.0,29:34,-8.0,2018.0
Panthers,23.9,382.0,948.0,5651.0,6.0,315.0,73.0,183.0,39.9,33.0,47.0,70.2,91.0,805.0,29:16,-1.0,2018.0
Seahawks,21.7,347.0,955.0,5653.0,5.9,323.0,64.0,183.0,35.0,25.0,51.0,49.0,108.0,981.0,29:57,-15.0,2018.0
Redskins,22.4,359.0,996.0,5654.0,5.7,330.0,86.0,196.0,43.9,27.0,52.0,51.9,102.0,791.0,30:22,-7.0,2018.0
Packers,25.0,400.0,1017.0,5670.0,5.6,331.0,79.0,212.0,37.3,34.0,56.0,60.7,97.0,792.0,31:48,0.0,2018.0
Rams,24.0,384.0,960.0,5737.0,6.0,322.0,70.0,188.0,37.2,30.0,52.0,57.7,99.0,852.0,29:18,-11.0,2018.0
Cardinals,26.6,425.0,1065.0,5741.0,5.4,357.0,78.0,205.0,38.0,33.0,53.0,62.3,100.0,790.0,33:27,12.0,2018.0
Patriots,20.3,325.0,1002.0,5746.0,5.7,322.0,76.0,197.0,38.6,27.0,46.0,58.7,91.0,838.0,29:55,-10.0,2018.0
Broncos,21.8,349.0,1022.0,5842.0,5.7,318.0,82.0,211.0,38.9,25.0,43.0,58.1,123.0,1006.0,31:02,-7.0,2018.0
Eagles,21.8,348.0,1002.0,5859.0,5.8,308.0,72.0,202.0,35.6,25.0,56.0,44.6,115.0,995.0,28:29,6.0,2018.0
Giants,25.8,412.0,1034.0,5942.0,5.7,346.0,87.0,206.0,42.2,33.0,58.0,56.9,110.0,919.0,32:30,-2.0,2018.0
Jets,27.6,441.0,1061.0,6086.0,5.7,343.0,72.0,213.0,33.8,31.0,59.0,52.5,95.0,817.0,31:03,10.0,2018.0
Raiders,29.2,467.0,973.0,6102.0,6.3,317.0,93.0,201.0,46.3,37.0,62.0,59.7,117.0,991.0,30:32,7.0,2018.0
Buccaneers,29.0,464.0,998.0,6134.0,6.1,356.0,73.0,181.0,40.3,45.0,58.0,77.6,127.0,1156.0,30:01,18.0,2018.0
Falcons,26.4,423.0,1031.0,6152.0,6.0,375.0,95.0,195.0,48.7,38.0,54.0,70.4,108.0,1001.0,31:51,-1.0,2018.0
Dolphins,27.1,433.0,1024.0,6257.0,6.1,350.0,84.0,196.0,42.9,37.0,61.0,60.7,107.0,856.0,33:31,-5.0,2018.0
Browns,24.5,392.0,1122.0,6288.0,5.6,377.0,75.0,210.0,35.7,33.0,54.0,61.1,119.0,990.0,33:48,-7.0,2018.0
Chiefs,26.3,421.0,1109.0,6488.0,5.9,419.0,80.0,193.0,41.5,42.0,58.0,72.4,107.0,881.0,31:20,-9.0,2018.0
Bengals,28.4,455.0,1084.0,6618.0,6.1,372.0,109.0,223.0,48.9,39.0,61.0,63.9,113.0,944.0,33:33,-1.0,2018.0
Vikings,15.8,252.0,956.0,4415.0,4.6,260.0,51.0,202.0,25.2,16.0,40.0,40.0,105.0,928.0,28:34,-5.0,2017.0
Jaguars,16.8,268.0,993.0,4578.0,4.6,257.0,74.0,220.0,33.6,11.0,28.0,39.3,112.0,1050.0,29:42,-10.0,2017.0
Broncos,23.9,382.0,952.0,4640.0,4.9,266.0,66.0,209.0,31.6,24.0,41.0,58.5,89.0,821.0,29:32,17.0,2017.0
Eagles,18.4,295.0,976.0,4904.0,5.0,272.0,66.0,205.0,32.2,21.0,38.0,55.3,101.0,917.0,27:19,-11.0,2017.0
Steelers,19.2,308.0,940.0,4910.0,5.2,270.0,72.0,199.0,36.2,24.0,39.0,61.5,110.0,1041.0,28:07,-2.0,2017.0
Cardinals,22.6,361.0,1007.0,4975.0,4.9,283.0,80.0,224.0,35.7,27.0,46.0,58.7,129.0,1128.0,30:33,4.0,2017.0
Panthers,20.4,327.0,953.0,5074.0,5.3,282.0,78.0,206.0,37.9,21.0,44.0,47.7,101.0,867.0,28:43,1.0,2017.0
Cowboys,20.8,332.0,1000.0,5089.0,5.1,312.0,90.0,210.0,42.9,28.0,49.0,57.1,107.0,880.0,30:48,1.0,2017.0
Falcons,19.7,315.0,994.0,5094.0,5.1,323.0,75.0,196.0,38.3,22.0,48.0,45.8,103.0,880.0,30:10,2.0,2017.0
Bears,20.0,320.0,1003.0,5106.0,5.1,298.0,86.0,219.0,39.3,24.0,49.0,49.0,118.0,910.0,32:38,0.0,2017.0
Seahawks,20.8,332.0,1045.0,5171.0,4.9,316.0,85.0,222.0,38.3,20.0,42.0,47.6,102.0,878.0,31:41,-8.0,2017.0
Ravens,18.9,303.0,1045.0,5201.0,5.0,296.0,82.0,222.0,36.9,22.0,45.0,48.9,96.0,807.0,30:37,-17.0,2017.0
Titans,22.2,356.0,1046.0,5248.0,5.0,323.0,78.0,214.0,36.4,27.0,56.0,48.2,119.0,942.0,30:24,4.0,2017.0
Browns,25.6,410.0,1026.0,5250.0,5.1,315.0,91.0,224.0,40.6,31.0,46.0,67.4,101.0,905.0,33:37,28.0,2017.0
Chargers,17.0,272.0,997.0,5254.0,5.3,282.0,86.0,221.0,38.9,13.0,36.0,36.1,109.0,995.0,30:04,-12.0,2017.0
Dolphins,24.6,393.0,989.0,5371.0,5.4,319.0,75.0,203.0,36.9,32.0,51.0,62.7,122.0,1077.0,31:35,14.0,2017.0
Saints,20.4,326.0,1002.0,5384.0,5.4,308.0,87.0,212.0,41.0,25.0,48.0,52.1,108.0,850.0,29:00,-7.0,2017.0
Bengals,21.8,349.0,1091.0,5425.0,5.0,325.0,98.0,241.0,40.7,26.0,56.0,46.4,106.0,906.0,33:55,9.0,2017.0
Rams,20.6,329.0,1020.0,5434.0,5.3,300.0,86.0,227.0,37.9,27.0,46.0,58.7,102.0,808.0,30:54,-7.0,2017.0
Texans,27.2,436.0,973.0,5546.0,5.7,301.0,71.0,201.0,35.3,33.0,54.0,61.1,122.0,1128.0,30:54,12.0,2017.0
Redskins,24.2,388.0,1045.0,5566.0,5.3,307.0,83.0,226.0,36.7,29.0,57.0,50.9,100.0,887.0,30:25,4.0,2017.0
Packers,24.0,384.0,1014.0,5582.0,5.5,331.0,89.0,208.0,42.8,30.0,46.0,65.2,94.0,832.0,32:38,3.0,2017.0
Raiders,23.3,373.0,994.0,5601.0,5.6,304.0,88.0,215.0,40.9,23.0,48.0,47.9,102.0,944.0,31:07,14.0,2017.0
49ers,23.9,383.0,1065.0,5625.0,5.3,343.0,95.0,221.0,43.0,34.0,57.0,59.6,97.0,791.0,32:51,3.0,2017.0
Jets,23.9,382.0,1052.0,5636.0,5.4,329.0,82.0,221.0,37.1,29.0,52.0,55.8,114.0,981.0,30:23,4.0,2017.0
Bills,22.4,359.0,1066.0,5682.0,5.3,348.0,82.0,214.0,38.3,30.0,57.0,52.6,97.0,873.0,32:11,-9.0,2017.0
Lions,23.5,376.0,1037.0,5692.0,5.5,350.0,74.0,194.0,38.1,34.0,55.0,61.8,110.0,971.0,30:12,-10.0,2017.0
Chiefs,21.2,339.0,1044.0,5842.0,5.6,352.0,83.0,207.0,40.1,28.0,51.0,54.9,107.0,864.0,30:35,-15.0,2017.0
Patriots,18.5,296.0,1022.0,5856.0,5.7,325.0,82.0,208.0,39.4,21.0,48.0,43.8,111.0,1035.0,29:23,-6.0,2017.0
Colts,25.2,404.0,1026.0,5873.0,5.7,324.0,97.0,217.0,44.7,27.0,51.0,52.9,102.0,822.0,31:29,-5.0,2017.0
Giants,24.2,388.0,1052.0,5971.0,5.7,313.0,88.0,222.0,39.6,29.0,53.0,54.7,115.0,923.0,32:49,3.0,2017.0
Buccaneers,23.9,382.0,1011.0,6049.0,6.0,327.0,104.0,216.0,48.1,29.0,53.0,54.7,109.0,937.0,31:32,1.0,2017.0
Texans,20.5,328.0,950.0,4821.0,5.1,272.0,82.0,213.0,38.5,23.0,44.0,52.3,114.0,950.0,29:52,7.0,2016.0
Cardinals,22.6,362.0,1019.0,4883.0,4.8,293.0,85.0,219.0,38.8,25.0,45.0,55.6,123.0,1010.0,30:03,0.0,2016.0
Vikings,19.2,307.0,993.0,5038.0,5.1,304.0,80.0,206.0,38.8,24.0,44.0,54.5,99.0,825.0,30:49,-11.0,2016.0
Broncos,18.6,297.0,1076.0,5057.0,4.7,306.0,86.0,236.0,36.4,22.0,42.0,52.4,110.0,990.0,32:53,-2.0,2016.0
Seahawks,18.2,292.0,1020.0,5099.0,5.0,307.0,82.0,212.0,38.7,26.0,46.0,56.5,103.0,925.0,31:53,-1.0,2016.0
Jaguars,25.0,400.0,1030.0,5147.0,5.0,305.0,83.0,224.0,37.1,30.0,55.0,54.5,101.0,948.0,31:51,16.0,2016.0
Ravens,20.1,321.0,993.0,5154.0,5.2,294.0,75.0,214.0,35.0,26.0,47.0,55.3,94.0,900.0,29:14,-5.0,2016.0
Patriots,15.6,250.0,998.0,5223.0,5.2,294.0,76.0,206.0,36.9,23.0,44.0,52.3,113.0,930.0,29:47,-12.0,2016.0
Rams,24.6,394.0,1038.0,5392.0,5.2,325.0,82.0,220.0,37.3,37.0,52.0,71.2,108.0,920.0,31:39,11.0,2016.0
Giants,17.8,284.0,1062.0,5435.0,5.1,298.0,84.0,238.0,35.3,17.0,43.0,39.5,104.0,853.0,32:41,2.0,2016.0
Jets,25.6,409.0,1000.0,5479.0,5.5,318.0,84.0,210.0,40.0,29.0,51.0,56.9,74.0,650.0,30:43,20.0,2016.0
Steelers,20.4,327.0,997.0,5482.0,5.5,313.0,88.0,214.0,41.1,26.0,57.0,45.6,109.0,920.0,30:00,-5.0,2016.0
Eagles,20.7,331.0,978.0,5484.0,5.6,300.0,82.0,205.0,40.0,23.0,51.0,45.1,99.0,837.0,28:56,-6.0,2016.0
Cowboys,19.1,306.0,1009.0,5503.0,5.5,330.0,77.0,197.0,39.1,29.0,54.0,53.7,90.0,784.0,29:32,-5.0,2016.0
Bears,24.9,399.0,1012.0,5548.0,5.5,322.0,85.0,210.0,40.5,31.0,59.0,52.5,103.0,959.0,32:53,20.0,2016.0
Chargers,26.4,423.0,1025.0,5554.0,5.4,329.0,83.0,208.0,39.9,36.0,66.0,54.5,118.0,837.0,30:08,7.0,2016.0
Bengals,19.7,315.0,1038.0,5612.0,5.4,327.0,86.0,217.0,39.6,25.0,49.0,51.0,105.0,950.0,31:36,-3.0,2016.0
Lions,22.4,358.0,964.0,5676.0,5.9,333.0,90.0,198.0,45.5,36.0,53.0,67.9,122.0,979.0,30:18,1.0,2016.0
Bills,23.6,378.0,1018.0,5712.0,5.6,338.0,82.0,205.0,40.0,30.0,57.0,52.6,106.0,884.0,31:06,-6.0,2016.0
Titans,23.6,378.0,1031.0,5721.0,5.5,324.0,77.0,210.0,36.7,29.0,55.0,52.7,137.0,1191.0,29:28,0.0,2016.0
Panthers,25.1,402.0,1035.0,5755.0,5.6,329.0,80.0,211.0,37.9,24.0,55.0,43.6,112.0,907.0,29:10,2.0,2016.0
Packers,24.2,388.0,987.0,5823.0,5.9,329.0,82.0,199.0,41.2,28.0,45.0,62.2,109.0,964.0,29:46,-8.0,2016.0
Buccaneers,23.1,369.0,1013.0,5887.0,5.8,326.0,67.0,195.0,34.4,29.0,50.0,58.0,121.0,1061.0,30:52,-2.0,2016.0
Chiefs,19.4,311.0,1063.0,5897.0,5.5,342.0,96.0,222.0,43.2,26.0,53.0,49.1,109.0,797.0,31:39,-16.0,2016.0
Falcons,25.4,406.0,1059.0,5939.0,5.6,358.0,89.0,213.0,41.8,40.0,55.0,72.7,113.0,974.0,30:00,-11.0,2016.0
Raiders,24.1,385.0,987.0,6002.0,6.1,318.0,78.0,198.0,39.4,33.0,57.0,57.9,115.0,1051.0,29:06,-16.0,2016.0
Saints,28.4,454.0,1008.0,6006.0,6.0,353.0,84.0,194.0,43.3,32.0,56.0,57.1,104.0,881.0,29:03,3.0,2016.0
Redskins,23.9,383.0,1050.0,6046.0,5.8,368.0,97.0,208.0,46.6,32.0,54.0,59.3,100.0,1023.0,31:51,0.0,2016.0
Colts,24.5,392.0,1023.0,6122.0,6.0,353.0,80.0,193.0,41.5,25.0,50.0,50.0,125.0,1155.0,30:34,5.0,2016.0
Dolphins,23.8,380.0,1088.0,6122.0,5.6,349.0,77.0,213.0,36.2,29.0,51.0,56.9,109.0,919.0,32:18,-2.0,2016.0
Browns,28.2,452.0,1067.0,6279.0,5.9,364.0,93.0,206.0,45.1,40.0,60.0,66.7,104.0,930.0,33:54,12.0,2016.0
49ers,30.0,480.0,1103.0,6501.0,5.9,358.0,102.0,226.0,45.1,41.0,66.0,62.1,93.0,795.0,33:28,5.0,2016.0
Broncos,18.5,296.0,1033.0,4530.0,4.4,289.0,80.0,227.0,35.2,22.0,37.0,59.5,104.0,773.0,31:37,4.0,2015.0
Seahawks,17.3,277.0,947.0,4668.0,4.9,273.0,67.0,195.0,34.4,16.0,38.0,42.1,94.0,795.0,29:51,-7.0,2015.0
Texans,19.6,313.0,986.0,4963.0,5.0,281.0,61.0,214.0,28.5,22.0,39.0,56.4,116.0,991.0,29:12,-5.0,2015.0
Jets,19.6,314.0,1013.0,5098.0,5.0,271.0,77.0,232.0,33.2,14.0,40.0,35.0,90.0,767.0,29:21,-6.0,2015.0
Cardinals,19.6,313.0,982.0,5147.0,5.2,284.0,75.0,210.0,35.7,26.0,47.0,55.3,130.0,1202.0,28:56,-9.0,2015.0
Panthers,19.2,308.0,1058.0,5167.0,4.9,298.0,86.0,227.0,37.9,21.0,40.0,52.5,99.0,822.0,29:33,-20.0,2015.0
Chiefs,17.9,287.0,1037.0,5269.0,5.1,313.0,72.0,217.0,33.2,24.0,40.0,60.0,110.0,941.0,29:05,-14.0,2015.0
Ravens,25.1,401.0,1000.0,5398.0,5.4,311.0,86.0,216.0,39.8,25.0,47.0,53.2,103.0,748.0,31:36,14.0,2015.0
Patriots,19.7,315.0,1042.0,5431.0,5.2,303.0,84.0,225.0,37.3,24.0,42.0,57.1,112.0,1013.0,30:02,-7.0,2015.0
Buccaneers,26.1,417.0,1044.0,5446.0,5.2,351.0,97.0,211.0,46.0,36.0,56.0,64.3,104.0,859.0,32:35,5.0,2015.0
Bengals,17.4,279.0,1032.0,5453.0,5.3,307.0,86.0,218.0,39.4,18.0,38.0,47.4,116.0,1063.0,30:49,-11.0,2015.0
Titans,26.4,423.0,1003.0,5475.0,5.5,317.0,92.0,216.0,42.6,33.0,53.0,62.3,112.0,982.0,31:44,14.0,2015.0
Vikings,18.9,302.0,1015.0,5507.0,5.4,318.0,71.0,206.0,34.5,19.0,43.0,44.2,109.0,875.0,30:48,-5.0,2015.0
Bears,24.8,397.0,980.0,5527.0,5.6,307.0,89.0,201.0,44.3,27.0,45.0,60.0,98.0,895.0,29:26,4.0,2015.0
Packers,20.2,323.0,1014.0,5547.0,5.5,300.0,79.0,220.0,35.9,28.0,49.0,57.1,120.0,1107.0,30:52,-5.0,2015.0
Falcons,21.6,345.0,996.0,5562.0,5.6,335.0,82.0,191.0,42.9,33.0,53.0,62.3,95.0,728.0,28:25,7.0,2015.0
Cowboys,23.4,374.0,998.0,5566.0,5.6,317.0,81.0,208.0,38.9,25.0,49.0,51.0,113.0,898.0,29:08,22.0,2015.0
Lions,25.0,400.0,999.0,5594.0,5.6,319.0,82.0,200.0,41.0,37.0,59.0,62.7,96.0,785.0,29:17,6.0,2015.0
Bills,22.4,359.0,1017.0,5702.0,5.6,321.0,85.0,210.0,40.5,27.0,45.0,60.0,113.0,906.0,29:42,-6.0,2015.0
Chargers,24.9,398.0,959.0,5791.0,6.0,299.0,74.0,195.0,37.9,23.0,46.0,50.0,120.0,976.0,29:41,4.0,2015.0
Steelers,19.9,319.0,1055.0,5809.0,5.5,327.0,90.0,225.0,40.0,28.0,57.0,49.1,121.0,1149.0,31:54,-2.0,2015.0
Raiders,24.9,399.0,1085.0,5818.0,5.4,344.0,84.0,224.0,37.5,30.0,58.0,51.7,104.0,943.0,31:58,-1.0,2015.0
Rams,20.6,330.0,1091.0,5885.0,5.4,320.0,78.0,225.0,34.7,20.0,48.0,41.7,109.0,992.0,33:12,-5.0,2015.0
Jaguars,28.0,448.0,1102.0,6000.0,5.4,362.0,105.0,227.0,46.3,35.0,57.0,61.4,114.0,989.0,33:47,10.0,2015.0
Dolphins,24.3,389.0,1075.0,6019.0,5.6,351.0,96.0,221.0,43.4,30.0,50.0,60.0,121.0,1005.0,33:38,3.0,2015.0
Colts,25.5,408.0,1072.0,6066.0,5.7,331.0,89.0,227.0,39.2,33.0,53.0,62.3,133.0,1168.0,31:06,5.0,2015.0
Browns,27.0,432.0,998.0,6067.0,6.1,321.0,81.0,203.0,39.9,36.0,62.0,58.1,108.0,833.0,30:08,9.0,2015.0
Redskins,23.7,379.0,1010.0,6090.0,6.0,329.0,78.0,207.0,37.7,27.0,49.0,55.1,112.0,955.0,28:26,-5.0,2015.0
49ers,24.2,387.0,1081.0,6199.0,5.7,356.0,82.0,210.0,39.0,32.0,54.0,59.3,112.0,920.0,34:09,5.0,2015.0
Eagles,26.9,430.0,1148.0,6426.0,5.6,365.0,99.0,231.0,42.9,40.0,61.0,65.6,123.0,1051.0,34:09,5.0,2015.0
Saints,29.8,476.0,996.0,6615.0,6.6,380.0,71.0,176.0,40.3,44.0,65.0,67.7,114.0,887.0,29:59,-2.0,2015.0
Giants,27.6,442.0,1105.0,6725.0,6.1,367.0,108.0,230.0,47.0,28.0,52.0,53.8,120.0,1077.0,32:03,-7.0,2015.0
