Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Drew Brees,NO,QB,16,422,670,63,5177,7.7,43,19,96.34,15,5,0.3,1,21.6,345.58
2,Aaron Rodgers,GB,QB,16,371,552,67.2,4295,7.8,39,8,108.02,54,259,4.8,2,21.5,343.6
3,Tom Brady,NE,QB,16,401,637,63,4827,7.6,34,8,98.68,23,32,1.4,4,21.3,340.28
4,Cam Newton,CAR,QB,16,280,485,57.7,3869,8,19,12,86.18,127,741,5.8,8,20.2,323.46
5,Robert Griffin III,WAS,QB,15,258,393,65.6,3200,8.1,20,5,102.38,120,815,6.8,7,21.2,317.5
6,Peyton Manning,DEN,QB,16,400,583,68.6,4659,8,37,11,105.85,23,6,0.3,0,19.4,310.96
7,Matt Ryan,ATL,QB,16,422,615,68.6,4719,7.7,32,14,99.1,34,141,4.1,1,19.1,304.86
8,Tony Romo,DAL,QB,16,425,648,65.6,4903,7.6,28,19,90.45,30,49,1.6,1,17.4,278.92
9,Andrew Luck,IND,QB,16,339,627,54.1,4374,7,23,18,76.47,62,255,4.1,5,17.3,276.46
10,Russell Wilson,SEA,QB,16,252,393,64.1,3118,7.9,26,10,100.03,94,489,5.2,4,17.2,275.62
11,Matthew Stafford,DET,QB,16,435,727,59.8,4967,6.8,20,17,79.84,35,126,3.6,4,17.2,275.58
12,Andy Dalton,CIN,QB,16,329,528,62.3,3669,6.9,27,16,87.38,47,120,2.6,4,15.7,250.76
13,Josh Freeman,TB,QB,16,306,558,54.8,4065,7.3,27,17,81.57,39,139,3.6,0,15.5,248.5
14,Joe Flacco,BAL,QB,16,317,531,59.7,3817,7.2,22,10,87.75,32,22,0.7,3,14.7,234.88
15,Eli Manning,NYG,QB,16,321,536,59.9,3948,7.4,26,15,87.19,20,30,1.5,0,14.6,232.92
16,Sam Bradford,LAR,QB,16,328,551,59.5,3702,6.7,21,13,82.56,37,127,3.4,1,14.4,230.78
17,Carson Palmer,OAK,QB,15,345,565,61.1,4018,7.1,22,14,85.25,18,36,2,1,15,224.32
18,Ben Roethlisberger,PIT,QB,13,284,449,63.3,3265,7.3,26,8,96.97,26,92,3.5,0,17.2,223.8
19,Matt Schaub,HOU,QB,16,350,544,64.3,4008,7.4,22,12,90.69,21,-9,-0.4,0,13.9,222.82
20,Ryan Fitzpatrick,BUF,QB,16,306,505,60.6,3400,6.7,24,16,83.27,48,197,4.1,1,13.4,213.7
21,Philip Rivers,LAC,QB,16,338,527,64.1,3606,6.8,26,15,88.63,27,40,1.5,0,13,208.24
22,Christian Ponder,MIN,QB,16,300,483,62.1,2935,6.1,18,12,81.23,60,253,4.2,2,12.1,193.2
23,Jay Cutler,CHI,QB,15,255,434,58.8,3033,7,19,14,81.32,41,233,5.7,0,12.3,184.62
24,Ryan Tannehill,MIA,QB,16,282,484,58.3,3294,6.8,12,13,76.07,49,211,4.3,2,11.4,182.86
25,Colin Kaepernick,SF,QB,13,136,218,62.4,1814,8.3,10,3,98.3,63,415,6.6,5,13.4,174.06
26,Brandon Weeden,CLE,QB,15,297,517,57.4,3385,6.5,14,17,72.56,27,111,4.1,0,11,165.6
27,Michael Vick,PHI,QB,10,204,351,58.1,2362,6.7,12,10,78.08,62,332,5.4,1,15.2,151.68
28,Jake Locker,TEN,QB,11,177,314,56.4,2176,6.9,10,11,73.95,41,291,7.1,1,12,132.14
29,Alex Smith,SF,QB,16,153,218,70.2,1737,8,13,5,104.09,31,132,4.3,0,7.7,122.68
30,Mark Sanchez,NYJ,QB,15,246,453,54.3,2883,6.4,13,18,66.86,22,28,1.3,0,7.9,118.12
31,Chad Henne,JAX,QB,10,166,308,53.9,2084,6.8,11,11,72.21,19,64,3.4,1,11.3,113.16
32,Blaine Gabbert,JAX,QB,10,162,278,58.3,1662,6,9,6,77.35,18,56,3.1,0,9.4,94.08
33,Nick Foles,PHI,QB,7,161,265,60.8,1699,6.4,6,5,79.11,11,42,3.8,1,12.3,86.16
34,Kevin Kolb,ARI,QB,6,109,183,59.6,1169,6.4,8,3,86.08,16,100,6.2,1,14.1,84.76
35,Matt Cassel,KC,QB,9,161,277,58.1,1796,6.5,6,12,66.7,27,145,5.4,1,8.7,78.34
36,Matt Hasselbeck,TEN,QB,8,138,221,62.4,1367,6.2,7,5,81.02,13,38,2.9,0,9.6,76.48
37,Brady Quinn,KC,QB,10,112,197,56.9,1141,5.8,2,8,60.06,19,66,3.5,0,4.4,44.24
38,Kirk Cousins,WAS,QB,3,33,48,68.8,466,9.7,4,3,101.56,3,22,7.3,0,10.9,32.84
39,John Skelton,ARI,QB,7,109,201,54.2,1132,5.6,2,9,55.4,4,5,1.2,0,4.5,31.78
40,Tyrod Taylor,BAL,QB,7,17,29,58.6,179,6.2,0,1,62.28,14,73,5.2,1,2.6,18.46
41,Byron Leftwich,PIT,QB,2,25,53,47.2,272,5.1,0,1,54.91,1,31,31,1,9,17.98
42,Jason Campbell,CHI,QB,6,32,51,62.7,265,5.2,2,2,72.75,7,28,4,0,2.9,17.4
43,Charlie Batch,PIT,QB,2,45,70,64.3,475,6.8,1,4,64.88,0,0,0,0,7.5,15
44,Shaun Hill,DET,QB,1,10,13,76.9,172,13.2,2,0,157.85,1,-1,-1,0,14.8,14.78
45,Brian Hoyer,ARI,QB,2,30,53,56.6,330,6.2,1,2,65.76,1,6,6,0,6.9,13.8
46,Ryan Lindley,ARI,QB,6,89,171,52,752,4.4,0,7,46.72,4,7,1.8,0,2.1,12.78
47,Tim Tebow,NYJ,QB,12,6,8,75,39,4.9,0,0,84.9,32,102,3.2,0,1,11.76
48,Greg McElroy,NYJ,QB,2,19,31,61.3,214,6.9,1,1,79.23,8,30,3.8,0,5.8,11.56
49,Thaddeus Lewis,CLE,QB,1,22,32,68.8,204,6.4,1,1,83.33,1,3,3,0,10.5,10.46
50,Kyle Orton,DAL,QB,1,9,10,90,89,8.9,1,0,137.08,0,0,0,0,9.6,9.56
51,Matt Moore,MIA,QB,6,11,19,57.9,131,6.9,1,0,96.6,5,-3,-0.6,0,1.5,8.94
52,Colt McCoy,CLE,QB,3,9,17,52.9,79,4.6,1,0,85.17,4,15,3.8,0,2.9,8.66
53,TJ Yates,HOU,QB,4,4,10,40,38,3.8,0,1,11.67,2,-1,-0.5,1,0.9,3.42
54,Matt Leinart,OAK,QB,2,16,33,48.5,115,3.5,0,1,44.38,0,0,0,0,1.3,2.6
55,Bruce Gradkowski,CIN,QB,2,5,11,45.5,65,5.9,0,0,64.58,4,-2,-0.5,0,1.2,2.4
56,Derek Anderson,CAR,QB,2,4,4,100,58,14.5,0,0,118.75,0,0,0,0,1.2,2.32
57,Matt Flynn,SEA,QB,3,5,9,55.6,68,7.6,0,0,79.86,4,-5,-1.2,0,0.7,2.22
58,Chase Daniel,NO,QB,16,1,1,100,10,10,0,0,108.33,3,17,5.7,0,0.1,2.1
59,Dan Orlovsky,TB,QB,1,4,7,57.1,51,7.3,0,0,80.06,0,0,0,0,2,2.04
60,Rusty Smith,TEN,QB,1,3,5,60,34,6.8,0,0,80.42,0,0,0,0,1.4,1.36
61,Trent Edwards,PHI,QB,1,2,2,100,14,7,0,0,95.83,0,0,0,0,0.6,0.56
62,David Carr,NYG,QB,2,2,3,66.7,19,6.3,0,0,84.03,3,-3,-1,0,0.2,0.46
63,Kellen Clemens,LAR,QB,2,1,3,33.3,39,13,0,1,42.36,2,5,2.5,0,0,0.06
64,Joe Webb,MIN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
65,Luke McCown,ATL,QB,2,0,0,0,0,0,0,0,0,2,-3,-1.5,0,-0.2,-0.3
66,Brock Osweiler,DEN,QB,5,2,4,50,12,3,0,0,56.25,8,-13,-1.6,0,-0.2,-0.82
67,Graham Harrell,GB,QB,4,2,4,50,20,5,0,0,64.58,4,-3,-0.8,0,-0.4,-1.5
68,Josh Johnson,CLE,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2
69,Ryan Mallett,NE,QB,4,1,4,25,17,4.2,0,1,5.21,8,-9,-1.1,0,-0.6,-2.22
